,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
97,2022-06-01,118.59399933725433,106.13524616217124,130.08850585878753,118.59399933725433,118.59399933725433,-1.141512676208317,-1.141512676208317,-1.141512676208317,-1.141512676208317,-1.141512676208317,-1.141512676208317,0.0,0.0,0.0,117.45248666104601
98,2022-06-02,118.38755723268989,106.29133199772058,128.37097753676534,118.38755723268989,118.38755723268989,-1.391874291739127,-1.391874291739127,-1.391874291739127,-1.391874291739127,-1.391874291739127,-1.391874291739127,0.0,0.0,0.0,116.99568294095076
99,2022-06-03,118.18111512812543,104.38037500928345,128.83957540089318,118.18111512812543,118.18111512812543,-1.7942385929865619,-1.7942385929865619,-1.7942385929865619,-1.7942385929865619,-1.7942385929865619,-1.7942385929865619,0.0,0.0,0.0,116.38687653513887
100,2022-06-06,117.56178881443203,104.69901291139514,128.44004569287054,117.56178881443203,117.56178881443203,-0.8700856827819169,-0.8700856827819169,-0.8700856827819169,-0.8700856827819169,-0.8700856827819169,-0.8700856827819169,0.0,0.0,0.0,116.69170313165012
101,2022-06-07,117.35534670986758,104.19964362903158,127.79804022076631,117.35534670986758,117.35534670986758,-1.177851332509324,-1.177851332509324,-1.177851332509324,-1.177851332509324,-1.177851332509324,-1.177851332509324,0.0,0.0,0.0,116.17749537735826
102,2022-06-08,117.14890460530312,104.30182501391064,127.39538878162955,117.14890460530312,117.14890460530312,-1.1415126762100531,-1.1415126762100531,-1.1415126762100531,-1.1415126762100531,-1.1415126762100531,-1.1415126762100531,0.0,0.0,0.0,116.00739192909306
103,2022-06-09,116.94246250073867,104.19284059760753,127.14833537929361,116.94246250073867,116.94246250073867,-1.3918742917398232,-1.3918742917398232,-1.3918742917398232,-1.3918742917398232,-1.3918742917398232,-1.3918742917398232,0.0,0.0,0.0,115.55058820899885
104,2022-06-10,116.9965850206257,103.71039687161804,127.25417531457049,116.9965850206257,116.9965850206257,-1.7942385929813771,-1.7942385929813771,-1.7942385929813771,-1.7942385929813771,-1.7942385929813771,-1.7942385929813771,0.0,0.0,0.0,115.20234642764433
105,2022-06-13,117.1589525802868,104.3900819337172,128.42589988031887,117.1589525802868,117.1589525802868,-0.8700856827852322,-0.8700856827852322,-0.8700856827852322,-0.8700856827852322,-0.8700856827852322,-0.8700856827852322,0.0,0.0,0.0,116.28886689750156
106,2022-06-14,117.21307510017382,104.4494217242191,127.77607140979576,117.21307510017382,117.21307510017382,-1.1778513325124043,-1.1778513325124043,-1.1778513325124043,-1.1778513325124043,-1.1778513325124043,-1.1778513325124043,0.0,0.0,0.0,116.03522376766142
107,2022-06-15,117.26719762006087,104.52743854264929,127.41604683211533,117.26719762006087,117.26719762006087,-1.141512676209171,-1.141512676209171,-1.141512676209171,-1.141512676209171,-1.141512676209171,-1.141512676209171,0.0,0.0,0.0,116.1256849438517
108,2022-06-16,117.3213201399479,103.95540814761718,126.75377565769895,117.3213201399479,117.3213201399479,-1.3918742917415994,-1.3918742917415994,-1.3918742917415994,-1.3918742917415994,-1.3918742917415994,-1.3918742917415994,0.0,0.0,0.0,115.9294458482063
109,2022-06-17,117.37544265983495,103.82404435115625,127.63984746350745,117.37544265983495,117.37544265983495,-1.7942385929807567,-1.7942385929807567,-1.7942385929807567,-1.7942385929807567,-1.7942385929807567,-1.7942385929807567,0.0,0.0,0.0,115.58120406685418
110,2022-06-21,117.59193273938307,104.37386332196071,127.93068256077247,117.59193273938307,117.59193273938307,-1.1778513325109146,-1.1778513325109146,-1.1778513325109146,-1.1778513325109146,-1.1778513325109146,-1.1778513325109146,0.0,0.0,0.0,116.41408140687216
111,2022-06-22,117.64605525927011,105.0421856166115,127.82102720100593,117.64605525927011,117.64605525927011,-1.1415126762075785,-1.1415126762075785,-1.1415126762075785,-1.1415126762075785,-1.1415126762075785,-1.1415126762075785,0.0,0.0,0.0,116.50454258306253
112,2022-06-23,117.85388882220909,104.69244671362308,127.92139097655063,117.85388882220909,117.85388882220909,-1.3918742917422962,-1.3918742917422962,-1.3918742917422962,-1.3918742917422962,-1.3918742917422962,-1.3918742917422962,0.0,0.0,0.0,116.46201453046679
113,2022-06-24,118.06172238514806,105.17247868525105,127.9438206964437,118.06172238514806,118.06172238514806,-1.7942385929778546,-1.7942385929778546,-1.7942385929778546,-1.7942385929778546,-1.7942385929778546,-1.7942385929778546,0.0,0.0,0.0,116.26748379217021
114,2022-06-27,118.68522307396499,106.80740899029033,129.56006290203882,118.68522307396499,118.68522307396499,-0.8700856827918622,-0.8700856827918622,-0.8700856827918622,-0.8700856827918622,-0.8700856827918622,-0.8700856827918622,0.0,0.0,0.0,117.81513739117312
115,2022-06-28,118.89305663690398,106.44961275483904,129.1825920021104,118.89305663690398,118.89305663690398,-1.1778513325123234,-1.1778513325123234,-1.1778513325123234,-1.1778513325123234,-1.1778513325123234,-1.1778513325123234,0.0,0.0,0.0,117.71520530439166
116,2022-06-29,119.10089019984295,106.59535277679169,130.10820297792202,119.10089019984295,119.10089019984295,-1.1415126762093142,-1.1415126762093142,-1.1415126762093142,-1.1415126762093142,-1.1415126762093142,-1.1415126762093142,0.0,0.0,0.0,117.95937752363363
117,2022-06-30,119.30872376278194,106.5674745446981,129.35202812407132,119.30872376278194,119.30872376278194,-1.3918742917374,-1.3918742917374,-1.3918742917374,-1.3918742917374,-1.3918742917374,-1.3918742917374,0.0,0.0,0.0,117.91684947104454
118,2022-07-01,119.51655732572091,106.36933690835059,128.79614789001437,119.51655732572091,119.51655732572091,-1.7942385929749516,-1.7942385929749516,-1.7942385929749516,-1.7942385929749516,-1.7942385929749516,-1.7942385929749516,0.0,0.0,0.0,117.72231873274596
119,2022-07-05,120.34789157747683,108.01016529126767,131.73054236815508,120.34789157747683,120.34789157747683,-1.177851332507935,-1.177851332507935,-1.177851332507935,-1.177851332507935,-1.177851332507935,-1.177851332507935,0.0,0.0,0.0,119.17004024496889
120,2022-07-06,120.55572526003313,107.79570482844404,130.10105427634613,120.55572526003313,120.55572526003313,-1.1415126762084324,-1.1415126762084324,-1.1415126762084324,-1.1415126762084324,-1.1415126762084324,-1.1415126762084324,0.0,0.0,0.0,119.41421258382469
